year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation
2000,KSGS.371852100505801,239.39,72.966072,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,682.922,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2001,KSGS.371852100505801,241.96,73.749408,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,666.249,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2002,KSGS.371852100505801,242.78,73.999344,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,631.744,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2003,KSGS.371852100505801,246.71,75.197208,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,722.681,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2004,KSGS.371852100505801,247.71,75.502008,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,686.214,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2005,KSGS.371852100505801,246.96,75.273408,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,752.509,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2006,KSGS.371852100505801,248.07,75.611736,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,677.273,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2007,KSGS.371852100505801,249.56,76.065888,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,721.202,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2008,KSGS.371852100505801,252.74,77.035152,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,606.085,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2009,KSGS.371852100505801,254.04,77.431392,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,699.658,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2010,KSGS.371852100505801,255.87,77.989176,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,708.353,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
2011,KSGS.371852100505801,257.2,78.39456,37.31502,-100.8505,USGS,Southern Kansas,10,2.0,625.031,706.2484285714286,549.9321,1.284246530523818,1.978354845305797
