year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,pct_cultivated,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation_x,precip_variation_y
2000,KSGS.371852100505801,239.39,72.966072,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,781.134,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2001,KSGS.371852100505801,241.96,73.749408,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,859.635,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2002,KSGS.371852100505801,242.78,73.999344,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,787.151,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2003,KSGS.371852100505801,246.71,75.197208,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,836.748,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2004,KSGS.371852100505801,247.71,75.502008,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,666.882,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2005,KSGS.371852100505801,246.96,75.273408,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,831.898,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2006,KSGS.371852100505801,248.07,75.611736,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,840.448,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2007,KSGS.371852100505801,249.56,76.065888,37.31502,-100.8505,USGS,Southern Kansas,,1,2.0,815.141,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2008,KSGS.371852100505801,252.74,77.035152,37.31502,-100.8505,USGS,Southern Kansas,86.5013774104683,1,2.0,808.424,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2009,KSGS.371852100505801,254.04,77.431392,37.31502,-100.8505,USGS,Southern Kansas,90.7254361799816,1,2.0,759.258,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2010,KSGS.371852100505801,255.87,77.989176,37.31502,-100.8505,USGS,Southern Kansas,66.3911845730028,1,2.0,745.527,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2011,KSGS.371852100505801,257.2,78.39456,37.31502,-100.8505,USGS,Southern Kansas,93.2966023875115,1,2.0,804.447,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2012,KSGS.371852100505801,263.27,80.244696,37.31502,-100.8505,USGS,Southern Kansas,87.6951331496786,1,2.0,713.223,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2013,KSGS.371852100505801,266.14,81.119472,37.31502,-100.8505,USGS,Southern Kansas,77.3186409550046,1,2.0,784.084,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2014,KSGS.371852100505801,269.79,82.231992,37.31502,-100.8505,USGS,Southern Kansas,83.1037649219467,1,2.0,831.498,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2015,KSGS.371852100505801,271.88,82.869024,37.31502,-100.8505,USGS,Southern Kansas,93.3884297520661,1,2.0,893.543,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2016,KSGS.371852100505801,272.95,83.19516,37.31502,-100.8505,USGS,Southern Kansas,87.0523415977961,1,2.0,791.494,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2017,KSGS.371852100505801,273.12,83.246976,37.31502,-100.8505,USGS,Southern Kansas,91.9191919191919,1,2.0,674.263,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2018,KSGS.371852100505801,274.94,83.801712,37.31502,-100.8505,USGS,Southern Kansas,71.1662075298439,1,2.0,803.025,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2019,KSGS.371852100505801,276.45,84.26196,37.31502,-100.8505,USGS,Southern Kansas,93.66391184573,1,2.0,823.101,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
2020,KSGS.371852100505801,276.24,84.197952,37.31502,-100.8505,USGS,Southern Kansas,88.8888888888889,1,2.1,888.307,797.106238095238,551.8382,1.4444564442273595,1.8157408632970544,1.8157408632970546
