site_id,gw_trend_m_per_yr,region,mean_et,mean_precip,et_precip_ratio
KSGS.371852100505801,0.6167014441558493,Southern Kansas,702.4121904761905,551.53815,1.2735514203898106
KSGS.372043101363101,0.21330062337662634,Southern Kansas,560.2160952380952,515.0488,1.08769511674752
KSGS.372539100142504,1.0479716727272819,Southern Kansas,830.3603809523809,605.3369,1.37173260322044
KSGS.373331098033301,0.06335881558441657,Southern Kansas,807.138,935.9236,0.8623973300938583
KSGS.373607100565301,0.5956148259740324,Southern Kansas,671.1677142857143,523.9862,1.2808881350889334
KSGS.374111099070401,0.1761724207792213,Southern Kansas,801.6629047619047,737.6244,1.086817241962388
KSGS.374125100344101,1.6907612259740374,Southern Kansas,705.1537142857143,580.8979,1.213903043253704
KSGS.374747100552101,1.912738753246771,Southern Kansas,848.2743333333333,526.28046,1.6118294395833697
KSGS.375145100485701,1.2174622441558551,Southern Kansas,795.6159523809524,537.5786,1.479999264711639
KSGS.375454101075401,1.5411978451948165,Southern Kansas,930.1594761904761,529.74316,1.7558687667760717
TWDB.0753701,0.16461179220779523,Western Texas,587.5815238095238,507.15778,1.158577373266619
TWDB.1005225,0.41476154805195337,Western Texas,778.4010000000001,534.8246,1.455432345274204
TWDB.1038101,1.2352237714285812,Western Texas,909.8568095238095,570.2659,1.5954956475189588
TWDB.1039702,1.4391824727272844,Western Texas,887.3321428571428,532.7012,1.66572215287966
TWDB.1157901,0.6354644571428608,Western Texas,797.713238095238,510.17966,1.5635927994728396
TWDB.2409103,-0.05905994805194934,Western Texas,544.6447619047618,482.6761,1.1283856342207854
TWDB.2409801,0.14153803636363899,Western Texas,471.9875714285714,486.55896,0.970052162776869
TWDB.2423701,0.09446820779220837,Western Texas,644.3338095238096,534.49725,1.2054950804769624
TWDB.2453902,0.12357462857142885,Western Texas,686.5398571428572,518.82416,1.3232611607113973
UNLCSD.423037099353801,0.05058294545454278,Central Nebraska,679.572380952381,682.8972,0.9951312792573835
USGS.335258091152301,0.055480659207791924,Eastern Arkansas,830.6932857142858,1413.57,0.5876563009103594
USGS.340440091231201,-0.07676209870130012,Eastern Arkansas,878.8825238095238,1436.3676,0.6118785693389416
USGS.342649091251916,0.033792697233766524,Eastern Arkansas,883.3536666666666,1347.4812,0.6555591765572931
USGS.345519091505401,0.31891784780519616,Eastern Arkansas,932.2509523809524,1416.8706,0.6579647772934999
USGS.350029090265801,-0.04994167792208054,Eastern Arkansas,830.299238095238,1404.1595,0.5913140287516112
USGS.373644113411501,1.0568484779220835,Western Utah,848.3185714285713,387.26608,2.1905315471333324
USGS.381901113014102,0.45664977662337813,Western Utah,947.081,271.43015,3.489225557758109
USGS.383921112175901,0.05907578181818132,Western Utah,395.42214285714283,285.00598,1.387416996835967
USGS.390819111530701,0.03097084675324618,Western Utah,811.3410952380952,312.8781,2.5931538898502597
USGS.392601112412201,0.20932634805194808,Western Utah,447.6290476190476,238.0491,1.8804063631641317
USGS.400932101404101,0.46393330909090935,Central Nebraska,672.885380952381,522.2361,1.2884697200902595
USGS.402103099402900,0.1345157610389603,Central Nebraska,703.1398095238095,691.0645,1.0174734704448372
USGS.402408099584800,0.000108857142855871,Central Nebraska,664.8693809523809,650.5773,1.0219683519429024
USGS.403235101395501,0.19035684137662298,Central Nebraska,721.3432857142857,546.6562,1.3195556919976192
USGS.403949098182201,0.17308285714285804,Central Nebraska,718.992,758.75354,0.9475962378547644
USGS.412603099492001,0.039204405194802894,Central Nebraska,680.1176666666667,701.06464,0.9701212006977971
USGS.415754112551301,0.054567116883118556,Southern Idaho,625.8063333333333,320.53516,1.9523797035394095
USGS.433218112191601,0.14173595844155884,Southern Idaho,589.5692380952381,297.36172,1.9826668626759811
USGS.434102112180701,0.15567427285714283,Southern Idaho,588.7905238095238,290.82642,2.0245427904248228
USGS.434657112282201,0.1943454736883117,Southern Idaho,373.87561904761907,261.0762,1.4320555286974237
USSCS.352158090232301,0.025084644145454253,Eastern Arkansas,801.2533333333333,1394.0627,0.5747613130765279
USSCS.355018090512401,0.18658312207792263,Eastern Arkansas,822.2014761904762,1327.3545,0.6194287065209505
amargosa,0.3129148051948064,Southwest US,154.05033333333333,122.1752,1.2608969050010446
butler_valley,1.411575777940044,Southwest US,582.4446666666666,167.54414,3.476365415614733
cuyama,0.4274766526315976,Southwest US,259.3053684210526,238.86435,1.0855758471707428
hualapai_valley,2.2590946996467975,Southwest US,235.85100000000003,272.82227,0.8644858932598347
mcmullen_valley,0.4048525042686474,Southwest US,306.46754999999996,226.78438,1.351360938671254
san_simon_valley,2.3303152549574864,Southwest US,541.0401818181818,301.69232,1.7933508503987803
southern_willcox,0.3938212921348265,Southwest US,327.2612222222222,358.8953,0.9118571001643394
willcox,2.2095839757411344,Southwest US,716.1205833333333,333.24356,2.148940497555265
